ID_g,Cu_g,Zn_g,Cd_s,Cu_s,Zn_s,Ni_s,SOM,pH,Cd_sa,Cu_sa,Zn_sa,Ni_sa,Temp,Aspect,TWI,Slope,Altitude,JZ,TR,DL,CI,PSRI,CSVI,NDVI,Lon,Lat
25,4.0924,28.2758,0.1542,19.078,102.7469,19.9619,190.646,5.88,0.12846196,0.5849,3.61059,1.71789,22.004,1.21758,6.0969,0.199783,4212,1,0,0,2.07321,0.0333196,0.138573,0.572236,100.3538,33.4954
26,4.3497,40.6853,0.1632,25.0714,74.8225,29.0136,187.635,6.679,0.16207361,9.8811,0.86719,3.28653,24.162,2.35575,4.76942,0.168104,4526,0,0,1,0.32515,0.171869,0.341139,0.275154,99.57747,35.46306
27,4.1716,35.5994,0.144,21.0758,83.7982,29.0136,187.635,6.2,0.12793207,4.4047,2.80126,2.88497,24.644,2.49762,3.91202,0.197396,3854,0,1,0,0.666814,0.0776699,0.224201,0.434828,101.7001,35.1871
28,5.953,35.9046,0.2256,19.078,89.782,30.0193,187.635,6.29,0.20277124,3.2327,8.32064,2.40661,21.304,1.00388,7.23023,0.255087,3191,0,1,0,0.775097,0.00418799,0.277993,0.368452,101.9381,35.61552
29,4.5378,72.421,0.1326,19.078,69.836,21.9734,186.632,7.778,0.0775094,2.3511,1.2884,1.32524,27.094,5.49675,6.2735,0.0565083,4200,0,0,1,0.373757,0.177778,0.342032,0.279477,99.51403,35.5988
30,4.1518,43.8385,0.3072,28.0681,107.7334,29.0136,186.632,6.27,0.25302767,7.7816,6.79929,1.72498,24.968,1.42164,8.53563,0.384358,4491,0,0,1,0.390723,0.166254,0.327376,0.292998,99.46743,35.48274
31,3.3204,22.2745,0.1338,22.0747,97.7604,28.0078,184.625,6.809,0.10395195,2.7249,3.45588,1.62427,24.334,2.51132,4.40896,0.630622,4045,1,0,0,1.41295,0.118056,0.307962,0.326194,100.8785,33.61525
32,5.1122,25.0209,0.1032,19.078,74.8225,21.9734,181.615,6.719,0.10056481,5.1445,9.91169,3.63052,21.576,3.57333,3.5531,0.278893,4000,1,0,0,1.58018,0.0954009,0.234395,0.4197,100.34,33.6345
33,6.1708,25.9363,0.093,18.0791,77.8144,21.9734,178.605,6.749,0.07300014,5.4623,8.45307,2.78836,21.08,5.53838,4.07541,0.327475,4029,1,0,0,1.30841,0.195978,0.334654,0.283607,100.3567,33.61704
34,5.3988,43.1265,0.1644,21.0758,83.7982,29.0136,177.601,6.909,0.11787455,1.6333,4.50508,1.38247,29.166,2.12025,7.42518,0.348733,3760,0,0,1,0.361399,0.184266,0.32732,0.278897,99.66953,36.11495
35,5.3097,47.1952,0.1542,19.078,108.7307,30.0193,176.598,6.969,0.21498988,2.3905,20.9518,1.37547,24.708,2.73618,4.87753,0.076011,3998,1,0,0,1.484,0.119865,0.283051,0.363086,101.0028,33.3615
36,5.4681,26.038,0.2142,19.078,67.8414,29.0136,174.591,6.939,0.14789126,1.2759,1.09009,1.4958,20.542,0.909581,3.37538,0.329577,3055,0,1,0,0.80597,0.0150054,0.25094,0.440957,101.9568,35.5791
37,2.2615,38.0406,0.144,23.0736,68.8387,27.0021,174.591,7.358,0.08830461,1.2238,3.37498,2.07561,23.444,4.29335,13.1622,0.194487,4217,0,0,1,0.476276,0.139676,0.297565,0.331838,99.55746,35.40989
38,5.0722,36.5149,0.2154,21.0758,93.7712,24.9906,172.584,6.599,0.19329556,4.3232,10.5677,3.70545,23.13,0.875893,6.79823,0.154953,3938,1,0,0,1.30127,0.169323,0.355089,0.263287,100.2939,33.69955
39,5.3196,29.6998,0.0828,18.0791,84.7955,21.9734,171.581,7.169,0.19229812,1.8023,34.909,1.15411,22.236,5.0786,2.88753,0.508305,4225,1,0,0,1.37064,0.139769,0.354822,0.305951,100.2903,33.49671
40,4.3695,22.7831,0.1338,17.0802,67.8414,14.9333,170.578,6.36,0.17127915,2.1036,20.252,2.52631,22.782,5.38611,5.96726,0.250735,4065,1,0,0,1.34879,0.167027,0.304472,0.311128,100.3169,33.56849
41,4.7159,47.9072,0.2754,20.0769,99.755,27.0021,169.574,5.671,0.10794171,0.807,1.3407,1.96987,22.97,3.51742,3.76709,0.433105,4057,1,0,0,1.56494,0.11609,0.23967,0.409405,100.9504,33.41353
42,5.6759,51.0604,0.2154,25.0714,77.8144,34.0422,168.571,6.27,0.20318684,4.1825,1.8392,3.72388,27.51,1.22179,5.95184,0.229953,3799,0,0,1,0.393598,0.172295,0.309926,0.309994,99.67072,36.10514
43,6.9427,39.363,0.195,31.0648,89.782,35.048,165.561,7.428,0.08109395,1.6759,2.32451,1.71219,24.41,0,7.39326,0.158655,3265,0,1,0,0.852408,0.037026,0.223793,0.458833,101.8249,35.39387
44,4.3497,31.429,0.144,21.0758,81.8036,31.025,164.557,6.549,0.06689082,1.7506,3.02317,1.92661,24.67,6.02837,6.14434,0.508852,3469,0,1,0,0.707379,0.0650752,0.264756,0.407052,101.7945,35.41732
45,5.6363,31.6325,0.1326,23.0736,79.809,25.9964,160.544,7.947,0.04001189,1.0368,0.76475,1.20253,22.198,3.48971,6.52721,0.229953,3999,1,0,0,1.36385,0.107593,0.371969,0.292001,100.2205,33.6243
46,5.9827,36.7183,0.1428,23.0736,71.8306,29.0136,160.544,6.47,0.10726636,5.0489,1.26067,3.73539,26.554,0.674614,7.40234,0.127369,3985,0,0,1,0.397988,0.17261,0.322727,0.300967,99.61098,36.09055
47,2.7365,32.3445,0.1032,19.078,81.8036,30.0193,160.544,5.621,0.08491747,1.2983,1.81788,2.48036,23.352,3.32082,6.3654,0.219988,4137,1,0,0,1.41628,0.150348,0.30428,0.330565,101.0869,33.39524
48,7.0318,34.0737,0.1032,25.0714,88.7847,30.0193,159.54,7.188,0.06164387,1.6301,2.16306,1.5161,25.12,4.0411,4.90591,0.354499,3319,0,1,0,1.10094,0.0300025,0.158519,0.544211,101.9242,35.38966
49,3.8648,23.4951,0.0828,17.0802,75.8198,20.9677,158.537,6.759,0.06530115,4.7512,7.54849,3.31227,22.668,2.17267,5.55107,0.370405,4161,1,0,0,1.455,0.107407,0.302262,0.34798,100.3785,33.62075
50,3.9341,35.1926,0.1836,25.0714,70.8333,36.0537,157.533,7.758,0.11679399,2.4631,1.48115,1.67047,29.65,5.89147,3.99623,0.181817,3999,0,0,1,0.399417,0.147274,0.304084,0.325836,99.54157,35.61793
51,5.3493,35.0908,0.1224,20.0769,70.8333,27.0021,155.527,7.638,0.06450112,2.6355,1.28317,1.56386,24.848,0.380435,8.24453,0.10729,4156,0,0,1,0.346473,0.165766,0.339628,0.288776,99.63345,35.48393
52,6.1015,41.9059,0.1746,22.0747,80.8063,25.9964,155.527,6.709,0.09449705,3.5512,1.85704,3.8406,23.704,4.90886,6.88814,0.0509461,4597,0,0,1,0.262245,0.210287,0.397735,0.221626,99.44319,35.72155
53,3.7361,24.8174,0.1542,19.078,98.7577,30.0193,154.523,6.899,0.1182382,2.0402,7.57965,2.14213,23.33,3.80192,7.44716,0.0582436,3962,1,0,0,1.54076,0.111195,0.289126,0.354366,100.679,33.38631
54,5.3295,62.9613,0.1338,20.0769,63.8522,30.0193,153.52,7.248,0.09113069,1.8994,1.54901,1.72264,21.234,5.90157,3.43235,0.312521,4248,0,0,1,0.374251,0.177545,0.300001,0.304893,99.55404,35.4466
55,5.6462,44.0419,0.1236,23.0736,104.7415,31.025,153.52,5.98,0.11897589,4.9871,2.40794,3.09708,26.134,0.426547,4.41595,0.120248,4029,0,1,0,0.0284626,0.0487564,0.934005,0.00638896,101.9319,35.46942
56,4.3105,22.7831,0.144,23.0736,96.7631,32.0308,153.52,6.45,0.14956405,3.6149,12.657,5.45684,21.308,4.37059,3.41447,0.317789,4377,1,0,0,1.40273,0.175955,0.267665,0.342477,100.7026,33.43778
57,6.9918,43.9402,0.3174,33.0626,91.7766,29.0136,152.516,7.478,0.20071402,1.4987,6.20747,0.59832,24.374,3.2753,11.164,0.357335,3114,0,1,0,0.855015,0.0524609,0.240472,0.426692,101.9097,35.5954
58,6.3192,57.8755,0.1848,22.0747,117.7064,32.0308,151.513,5.681,0.23673615,1.9804,14.8048,2.84408,24.754,1.77948,4.77554,0.325354,4141,1,0,0,1.53477,0.111078,0.259493,0.391756,101.001,33.37818
59,4.7951,37.3286,0.144,23.0736,92.7739,19.9619,151.513,6.839,0.12872171,2.6735,15.2715,2.49776,22.29,4.1373,4.59282,0.199783,3895,1,0,0,1.46157,0.139274,0.341504,0.298107,100.3502,33.65888
60,4.9139,48.7209,0.1428,17.0802,65.8468,29.0136,150.51,7.408,0.08110434,2.5575,1.16244,1.80216,0,5.4468,5.64364,0.27597,4207,0,0,1,0.488019,0.157691,0.274782,0.345794,99.52643,35.3808
61,7.9028,45.1608,0.144,26.0703,83.7982,35.048,150.51,7.308,0.11679399,3.0636,1.88695,2.43889,26.168,4.77024,6.78087,0.168676,3824,0,0,1,0.506153,0.142191,0.250354,0.361782,99.61688,36.17564
62,6.3192,35.9046,0.1848,23.0736,73.8252,31.025,150.51,7.288,0.1175109,1.2596,2.43955,1.5799,23.224,5.5964,11.4176,0.141181,3426,0,1,0,1.21637,0.0338364,0.146744,0.555665,101.8029,35.63487
63,3.5976,34.8874,0.1338,15.0824,66.8441,21.9734,150.51,6.619,0.10245579,2.4552,3.2324,1.99245,22.506,5.34413,7.67342,0.183909,4193,0,0,1,0.343009,0.18597,0.340399,0.274188,99.56786,35.53808
64,5.3889,41.9059,0.2052,22.0747,87.7874,29.0136,149.506,7.119,0.12952174,2.2659,2.77422,2.66046,28.51,5.74839,3.66697,0.47247,4139,0,0,1,0.352,0.198701,0.335797,0.280913,99.47955,35.79728
65,3.4194,25.8346,0.1134,17.0802,74.8225,21.9734,149.506,7.198,0.09721923,2.3963,10.5135,1.54629,23.324,3.78438,4.89285,0.540419,4245,1,0,0,1.45214,0.112694,0.278197,0.366545,100.6745,33.39891
66,4.3992,36.2097,0.1224,21.0758,68.8387,32.0308,148.503,7.298,0.07913024,2.8806,1.23635,2.0414,27.668,5.43434,3.78664,0.425704,4068,0,0,1,0.434732,0.159172,0.303867,0.321711,99.53226,35.6093
67,3.9143,32.5479,0.1236,17.0802,65.8468,22.9791,148.503,6.959,0.07164944,3.2701,1.5531,2.07505,22.276,0.78525,0,0,4384,0,0,1,0.344066,0.154647,0.347269,0.281724,99.55117,35.5036
68,3.3996,18.2058,0.144,25.0714,96.7631,30.0193,148.503,6.829,0.1158485,1.9484,8.1207,2.09881,22.676,5.38908,4.55389,0.484472,4300,1,0,0,1.33362,0.198749,0.339046,0.286585,100.3747,33.4416
69,6.6755,36.4132,0.1644,21.0758,75.8198,31.025,147.499,6.629,0.08448109,2.2347,2.49314,2.20965,23.856,0.540318,5.73236,0.283684,3721,0,1,0,0.96,0.0653943,0.197876,0.458251,101.8033,35.5626
70,5.8838,41.9059,0.2154,20.0769,82.8009,30.0193,147.499,6.549,0.15017706,1.6864,5.21693,2.05896,24.852,6.11688,7.66725,0.238673,3480,0,1,0,0.671027,0.0847674,0.253392,0.381007,101.8877,35.58029
71,5.3493,38.7527,0.1428,22.0747,73.8252,29.0136,146.496,7.069,0.09043456,2.6006,1.10348,3.35974,22.614,0,5.33914,0.235545,4234,0,0,1,0.48125,0.175937,0.28694,0.33668,99.45542,35.786
72,5.2603,39.363,0.297,39.056,122.6929,33.0365,146.496,7.188,0.25640442,6.7281,3.36841,2.14015,24.82,0.404815,4.58985,0.547202,4115,0,0,1,0.333333,0.20969,0.334761,0.270961,99.51173,36.10128
73,5.7852,35.2943,0.1644,19.078,99.755,24.9906,146.496,6.06,0.19289035,2.5989,17.2012,2.91105,23.928,3.03794,6.90243,0.283684,4123,1,0,0,1.38263,0.0950413,0.365675,0.312102,100.5958,33.58578
74,4.5576,45.9746,0.195,29.067,70.8333,28.0078,144.489,7.288,0.12820221,3.8914,2.02105,1.51267,23.42,0.990607,4.05503,0.333731,4160,0,0,1,0.363738,0.195783,0.335326,0.283388,99.5585,36.06787
75,5.3295,41.1939,0.1746,22.0747,78.8117,30.0193,144.489,6.5,0.12806714,2.2301,3.31398,2.36183,23.422,1.54348,4.68277,0.354499,3285,0,1,0,0.841245,0.0396351,0.213993,0.444181,101.909,35.63406
76,6.5667,33.4634,0.1338,20.0769,70.8333,24.9906,143.486,6.31,0.10674686,1.5917,2.18411,1.95652,26.762,6.11688,6.9741,0.238673,3483,0,1,0,0.951359,0.0418706,0.180567,0.509434,101.9558,35.38059
77,4.7258,29.9033,0.1338,21.0758,85.7928,33.0365,142.482,5.851,0.09108913,3.1227,3.35833,3.7765,23.508,2.35575,8.61347,0.377036,4331,1,0,0,1.45415,0.136885,0.281592,0.345104,100.8956,33.63144
78,6.0322,44.0102,0.195,22.0747,90.7793,31.025,142.482,5.89,0.21432492,3.7802,11.0579,4.49584,24.736,0.851806,7.61211,0.402045,4170,1,0,0,1.34904,0.17719,0.323765,0.298464,100.4866,33.56504
79,5.3307,27.9707,0.1338,25.0714,75.8198,29.0136,141.479,7.638,0.06993509,2.0213,2.2577,2.28944,22.364,1.41682,5.03111,0.623015,3161,0,1,0,0.935929,0.0585447,0.21601,0.438755,101.8353,35.34417
80,5.0821,28.6827,0.1338,16.0813,79.809,28.0078,141.479,6.729,0.09661661,1.8625,3.03332,1.8932,25.226,1.42863,4.95174,0.0705932,3645,0,1,0,1.31569,0.0166271,0.130295,0.579957,101.7433,35.18347
81,6.4776,40.1767,0.1134,21.0758,89.782,25.9964,141.479,6.09,0.10470003,3.4765,4.55839,2.78499,22.498,1.5705,6.2836,0.273009,3919,1,0,0,1.22199,0.153881,0.419123,0.231062,100.8338,33.75968
82,5.3893,31.9376,0.1326,21.0758,68.8387,31.025,140.476,7.608,0.06351407,1.2379,1.32493,1.37671,27.152,6.0111,4.67337,0.35757,3624,0,0,1,0.154299,0.233676,0.438953,0.163029,99.78827,36.10321
83,4.3497,34.2771,0.1848,22.0747,95.7658,23.9849,140.476,7.358,0.1310179,5.0656,1.99251,2.7942,25.154,6.12938,7.24888,0.257231,4128,0,0,1,0.382609,0.171343,0.316351,0.305152,99.5548,35.68833
84,6.5073,52.281,0.195,18.0791,80.8063,23.9849,139.472,6.799,0.13960004,2.5322,1.78523,2.72559,23.098,1.68114,4.99208,0.26526,4370,0,0,1,0.300803,0.184043,0.37549,0.26514,99.46539,35.73948
85,6.5568,34.7857,0.1644,20.0769,85.7928,29.0136,139.472,5.821,0.12859703,3.6158,3.87027,3.7203,25.288,5.63862,10.6919,0.0996687,3556,0,1,0,0.538742,0.134705,0.319941,0.312264,101.9516,35.50095
86,5.5968,34.3788,0.1428,24.0725,69.836,37.0594,138.469,8.057,0.05554494,0.6554,0.72472,0.71712,25.722,0.78525,4.07627,0.168104,3349,0,1,0,0.888275,0.0464943,0.1645,0.530602,101.8461,35.67111
87,6.438,62.8596,0.2856,27.0692,63.8522,22.9791,138.469,6.699,0.18399651,4.1395,1.46841,2.6563,26.136,0.0322408,5.77583,0.300753,4119,0,0,1,0.456821,0.122686,0.310889,0.322278,99.55268,35.70003
88,3.5778,29.5981,0.2154,21.0758,109.728,35.048,138.469,5.89,0.19269294,3.4274,11.8648,3.90736,23.18,3.55915,5.02587,0.194487,4191,1,0,0,1.48455,0.116768,0.241899,0.389885,101.0841,33.46859
